x,z
0,3.5
0.696706709347165,4.21735609089952
1.39341341869433,4.93471218179905
2.0901201280415,5.65206827269857
2.78682683738866,6.36942436359809
3.48353354673583,7.08678045449761
4.18024025608299,7.80413654539714
4.87694696543016,8.52149263629666
5.57365367477732,9.23884872719618
6.27036038412449,9.95620481809571
6.96706709347165,10.6735609089952
0,3.5
-0.696706709347165,4.21735609089952
-1.39341341869433,4.93471218179905
-2.0901201280415,5.65206827269857
-2.78682683738866,6.36942436359809
-3.48353354673583,7.08678045449761
-4.18024025608299,7.80413654539714
-4.87694696543016,8.52149263629666
-5.57365367477732,9.23884872719618
-6.27036038412449,9.95620481809571
-6.96706709347165,10.6735609089952
0,13.5
0.696706709347165,14.2173560908995
1.39341341869433,14.934712181799
2.0901201280415,15.6520682726986
2.78682683738866,16.3694243635981
3.48353354673583,17.0867804544976
4.18024025608299,17.8041365453971
4.87694696543016,18.5214926362967
5.57365367477732,19.2388487271962
6.27036038412449,19.9562048180957
6.96706709347165,20.6735609089952
0,13.5
-0.696706709347165,14.2173560908995
-1.39341341869433,14.934712181799
-2.0901201280415,15.6520682726986
-2.78682683738866,16.3694243635981
-3.48353354673583,17.0867804544976
-4.18024025608299,17.8041365453971
-4.87694696543016,18.5214926362967
-5.57365367477732,19.2388487271962
-6.27036038412449,19.9562048180957
-6.96706709347165,20.6735609089952
