x,z,color
-0.680703729194132,5.109,1
-1.67111176268729,6.63,1
1.93921260643149,5.295,1
0.341951864536877,3.346,1
1.24752528128745,4.38,0
2.76306609154155,6.36,0
-0.12605557676145,4.227,0
-1.17634580464739,5.904,0
3.48930444381164,7.129,1
6.87098565745564,11.017,1
-3.02589613387448,8.6735,0
-2.63952127125861,8.1855,1
5.00196325729117,8.796,1
2.70444703312965,15.471,1
7.79826157786698,12.119,0
-0.306370156703872,16.279,0
-3.53498849280085,9.5885,1
4.27833639661629,8.02,0
0.18475764535886,15.4165,1
4.44213946797961,17.954,1
-2.19385656112113,7.522,0
5.32378154718875,19.135,0
6.02585002339883,10.052,0
-0.686299649457619,5.151,1
-1.67640487686775,6.651,1
1.93921260643149,5.295,1
0.341951864536877,3.346,1
1.24752528128745,4.38,0
2.75481164881525,6.341,0
-0.125936290670358,4.223,0
-1.17475184014244,5.896,0
3.4775575919879,7.105,1
6.95923513286001,11.1585,1
-2.92699239790245,8.39,0
-2.5861536369793,8.02,1
5.04233835861765,8.867,1
2.66651380281557,15.254,1
7.75514881891681,12.052,0
-0.315798957521407,16.78,0
4.27833639661629,8.02,0
-3.43673804347807,9.322,1
0.186729080682152,15.581,1
4.49756105875757,18.178,1
-2.16775310961617,7.4325,0
5.27759666415591,18.969,0
6.05402500858583,10.099,0
-0.685500232277121,5.145,1
-1.67111176268729,6.63,1
1.93921260643149,5.295,1
0.342973836636509,3.356,1
1.24396499224268,4.3675,0
2.76306609154155,6.36,0
-0.125578432397082,4.211,0
-1.17475184014244,5.896,0
3.4775575919879,7.105,1
6.85383469933818,10.9895,1
-2.57647974556915,7.99,1
-3.00792949400655,8.622,0
5.02243513965389,8.832,1
2.68539301421613,15.362,1
7.75514881891681,12.052,0
-0.304092941336763,16.158,0
4.27833639661629,8.02,0
-3.48134706549704,9.443,1
0.191528836590836,15.9815,1
4.4238305495976,17.88,1
-2.16046164271534,7.4075,0
5.27759666415591,18.969,0
6.11037497895984,10.193,0
-0.682302563555128,5.121,1
-1.67640487686775,6.651,1
1.93445155565083,5.282,1
0.342973836636509,3.356,1
1.2452466962988,4.372,0
2.76306609154155,6.36,0
-0.126323970466407,4.236,0
-1.17156391113256,5.88,0
3.48930444381164,7.129,1
-2.97269394785778,8.521,0
6.90591124489482,11.073,1
-2.61968979386781,8.124,1
5.04233835861765,8.867,1
2.66651380281557,15.254,1
-0.304092941336763,16.158,0
7.71267953398082,11.986,0
0.184104495054183,15.362,1
